hospital name,latitude,longitude
松龄(万年)护老中心,22.344061,114.20695
晓光(得如)护老中心,22.310915,114.174396
富璟护老院,22.501534,114.132729
康璟护老院(双凤街),22.343246,114.203135
德安护老之家,22.283649,114.138851
康璟护老院(定业街),22.315556,114.220499
惠理护老中心,22.318383,114.169619
杏林护老院,22.327163,114.162896
安岭护老院有限公司,22.316613,114.193904
百乐护老院,22.332708,114.200967
春晖护老中心,22.284046,114.138129
富桦护老院,22.44439,114.173372
顺居护老院有限公司,22.307778,114.192874
美景护老院(奕贤大厦店),22.314797,114.19595
善颐(大华)护老院,22.321159,114.171871
嘉友护老院,22.307105,114.192316
西环亚洲护老院,22.279671,114.131361
宏光护老院,22.322964,114.219675
靠背垄护老院(落山道),22.315056,114.191524
辉涛护老院(屯门分院),22.399333,113.982686
真凤凰护老院有限公司,22.340606,114.202091
荃德护老院,22.373258,114.112053
养和护老中心,22.446277,114.170684
福健护老院,22.329038,114.168798
华丰护老中心葵涌分院有限公司,22.364979,114.137242
松晖护老中心,22.31263,114.228146
温暖护老院(昌远大厦店),22.325729,114.162834
松龄护老中心,22.357089,114.132998
富璟护老院,22.378419,114.200959
仁爱护老中心,22.33052,114.165617
佳安家综合护老中心(秦石商场店),22.370514,114.191822
耆康会群芳念慈护理安老院,22.379052,114.206274
庆楠护老院(威尼斯)1院,22.495035,114.132268
乐年护老院,22.325291,114.16574
裕安护老院,22.304123,114.173976
顺福护老院(元州街),22.336991,114.158566
惠心护老院,22.368151,114.143532
环翠护老中心,22.25987,114.241442
中华护老院,22.33186,114.166637
康福护老院,22.279599,114.226789
仁安护老院(青山道),22.334964,114.162643
阳光(天悦)护老中心,22.275134,114.231033
慈爱护老院(青山道),22.333395,114.164645
荣昌护老院,22.336392,114.158435
西湾河亚洲护老院,22.277503,114.229088
恒安护老院,22.322968,114.173821
来来护老中心,22.374183,114.108821
兆善护老中心,22.325656,114.171765
保健护老院,22.496445,114.14861
康怡护老院,22.287257,114.213932
太平山护老之家,22.442399,114.016577
阳光护老中心,22.263303,114.239133
神召会华人同工联会华禧(金马)护老院,22.439703,114.037737
春晖护老院,22.341207,114.201277
鹤寿堂平壹花园护老院,22.329766,114.165301
荣昌护老中心,22.33672,114.160723
广安护老院(弥敦道),22.318603,114.174143
源安护老院,22.313375,114.194975
雅居护老院,22.28949,114.202822
顺恩护老中心(界限街),22.323704,114.167473
剑桥护老院(芬尼街),22.285448,114.215235
